============================================================
Time  2018/05/22 12:57:09 136 
============================================================
[2018/05/22 12:57:09 136] isr        28   isr loaded!  
[2018/05/22 12:57:09 136] isr        48   wifi  
[2018/05/22 12:57:10 195] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 205] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 215] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 225] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 235] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 246] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 256] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 266] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 276] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 286] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 297] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 307] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 317] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 327] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 337] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 347] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 357] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 367] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 378] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 387] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 399] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 405] isr_1conn  239  netperf:  65  
[2018/05/22 12:57:10 408] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 418] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 428] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 438] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 449] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 460] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 469] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 480] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 489] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 489] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 500] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 510] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 520] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 530] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 540] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 551] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 561] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 570] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 581] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 591] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 601] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 611] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 621] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 631] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 642] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 653] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 663] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 672] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 683] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 693] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 704] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 713] isr_1conn  1693 ISR_MSG_AUW  320  2  
[2018/05/22 12:57:10 718] isr_1conn  239  netperf:  57  
[2018/05/22 12:57:10 723] isr_1conn  1693 ISR_MSG_AUW  320  2  
